"","01-HLB_221116_neg_iaMSMS_02.mzML","01-HLB_221116_neg_iaMSMS_03.mzML","01-HLB_221116_neg_iaMSMS_04.mzML","02-HLB_221116_neg_iaMSMS_01.mzML","02-HLB_221116_neg_iaMSMS_02.mzML","02-HLB_221116_neg_iaMSMS_03.mzML","02-HLB_221116_neg_iaMSMS_04.mzML","03-HLB_221116_neg_iaMSMS_01.mzML","03-HLB_221116_neg_iaMSMS_02.mzML","03-HLB_221116_neg_iaMSMS_03.mzML","03-HLB_221116_neg_iaMSMS_04.mzML","04-HLB_221116_neg_iaMSMS_01.mzML","04-HLB_221116_neg_iaMSMS_02.mzML","04-HLB_221116_neg_iaMSMS_03.mzML","04-HLB_221116_neg_iaMSMS_04.mzML","05-HLB_221116_neg_iaMSMS_01.mzML","05-HLB_221116_neg_iaMSMS_02.mzML","05-HLB_221116_neg_iaMSMS_03.mzML","05-HLB_221116_neg_iaMSMS_04.mzML","06-HLB_221116_neg_iaMSMS_01.mzML","06-HLB_221116_neg_iaMSMS_02.mzML","06-HLB_221116_neg_iaMSMS_03.mzML","06-HLB_221116_neg_iaMSMS_04.mzML","07-HLB_221116_neg_iaMSMS_01.mzML","07-HLB_221116_neg_iaMSMS_02.mzML","07-HLB_221116_neg_iaMSMS_03.mzML","07-HLB_221116_neg_iaMSMS_04.mzML","08-HLB_221116_neg_iaMSMS_01.mzML","08-HLB_221116_neg_iaMSMS_02.mzML","08-HLB_221116_neg_iaMSMS_03.mzML","08-HLB_221116_neg_iaMSMS_04.mzML","09-HLB_221116_neg_iaMSMS_01.mzML","09-HLB_221116_neg_iaMSMS_02.mzML","09-HLB_221116_neg_iaMSMS_03.mzML","09-HLB_221116_neg_iaMSMS_04.mzML","10-HLB_221116_neg_iaMSMS_01.mzML","10-HLB_221116_neg_iaMSMS_02.mzML","10-HLB_221116_neg_iaMSMS_03.mzML","10-HLB_221116_neg_iaMSMS_04.mzML","11-HLB_221116_neg_iaMSMS_01.mzML","11-HLB_221116_neg_iaMSMS_02.mzML","11-HLB_221116_neg_iaMSMS_03.mzML","11-HLB_221116_neg_iaMSMS_04.mzML","12-HLB_221116_neg_iaMSMS_01.mzML","12-HLB_221116_neg_iaMSMS_02.mzML","12-HLB_221116_neg_iaMSMS_03.mzML","12-HLB_221116_neg_iaMSMS_04.mzML","13-HLB_221116_neg_iaMSMS_01.mzML","13-HLB_221116_neg_iaMSMS_02.mzML","13-HLB_221116_neg_iaMSMS_03.mzML","13-HLB_221116_neg_iaMSMS_04.mzML","14-HLB_221116_neg_iaMSMS_r01.mzML","14-HLB_221116_neg_iaMSMS_r02.mzML","14-HLB_221116_neg_iaMSMS_r03.mzML","14-HLB_221116_neg_iaMSMS_r04.mzML","16-HLB_221116_neg_iaMSMS_01.mzML","16-HLB_221116_neg_iaMSMS_02.mzML","16-HLB_221116_neg_iaMSMS_03.mzML","16-HLB_221116_neg_iaMSMS_04.mzML","17-HLB_221116_neg_iaMSMS_02.mzML","17-HLB_221116_neg_iaMSMS_03.mzML","17-HLB_221116_neg_iaMSMS_04.mzML","18-HLB_221116_neg_iaMSMS_04.mzML","19-HLB_221116_neg_iaMSMS_01.mzML","19-HLB_221116_neg_iaMSMS_02.mzML","19-HLB_221116_neg_iaMSMS_03.mzML","19-HLB_221116_neg_iaMSMS_04.mzML","20-HLB_221116_neg_iaMSMS_01.mzML","20-HLB_221116_neg_iaMSMS_02.mzML","20-HLB_221116_neg_iaMSMS_03.mzML","20-HLB_221116_neg_iaMSMS_04.mzML"
"12236_267.118_9.371",143.76874,229.32767,377.1305,138.02696,151.57419,134.66501,149.09384,803.526,814.91125,1219.8998,815.65656,575.13434,1031.8387,1100.6582,1057.2214,1870.4565,2084.8628,2035.8757,2936.271,1435.3741,1717.4792,2570.6558,1783.3485,2897.9067,2709.788,3212.632,3423.4155,1784.1748,1779.5918,1502.3723,1486.839,600.35364,1011.5518,1315.7797,862.6334,2179.6116,3230.6045,3164.565,2853.497,0,0,0,0,4435.6777,4681.2905,4540.8687,4636.352,567.9616,762.5314,626.16016,975.99585,1882.4431,1955.036,2082.2283,2150.978,0,8.11428,0,0,0,0,19.619972,0,2100.939,2001.3306,2262.7944,2130.918,0,0,0,0
"5260_267.119_7.439",1474.1606,1670.8013,1646.9766,517.02625,594.9271,495.9812,536.27844,4035.039,3704.9812,3700.669,3573.7795,5820.19,6310.7017,5920.1406,12026.151,8433.614,7498.8286,7952.4717,7233.711,15796.022,16654,8657.223,16583.783,15426.317,29036.854,16609.3,31087.95,19892.69,19284.936,18984.799,18774.973,7002.46,6695.161,14086.212,6579.668,13260.898,12914.624,11395.132,12651.219,0,5.468177,0,0,15162.24,15319.987,15414.735,15166.811,1680.4059,1695.8622,1787.3297,1685.2792,6694.0435,6461.158,7440.284,7742.9634,0,11.664816,0,0,0,0,0,0,11418.791,11634.492,11375.148,11175.257,0,0,0,16.001144
"16556_267.133_10.287",195.56166,170.28918,160.65396,78.308365,25.943707,37.49294,56.110214,276.73883,353.57117,340.0554,298.51877,332.04303,374.78687,326.22797,394.82675,849.9673,992.2743,892.8026,754.47375,681.40283,611.2066,692.36334,717.7512,1222.6833,1232.571,1169.5714,1555.0037,568.6863,586.3782,671.137,800.8481,457.28757,309.3324,350.4583,452.04163,1014.1147,1021.99365,1103.817,953.4894,0,0,0,0,2182.119,2271.2078,2414.5088,1936.8792,202.17812,265.95303,248.36435,222.98256,640.8498,734.2444,746.9511,846.8926,0,0,0,0,0,0,0,0,683.8695,583.43115,726.29785,726.197,0,0,0,0
"8379_267.133_8.216",1140.5371,1367.9961,1610.6565,454.35696,408.91458,435.9369,461.3326,2620.843,2676.0964,2534.7888,2359.1313,2299.299,2600.634,2569.1921,2347.9873,4495.608,4662.6216,4945.8896,4767.202,4832.044,4868.8394,4780.7744,4683.552,5790.477,5254.9473,5797.2935,5282.202,3869.6433,3807.2085,3811.3958,3435.7544,2127.564,2806.7651,2938.0083,2712.7832,4729.624,4860.164,4724.6997,4926.755,0,0,0,0,6594.0117,6274.1846,6144.956,6114.9585,1034.3099,1257.281,1358.5164,1305.136,2089.6238,2151.1465,1602.4786,2301.3503,0,0,0,12.505511,0,0,0,0,2689.871,2386.0608,2523.3079,3311.3774,0,0,0,15.529931
"9581_267.135_8.746",404.1327,386.74246,344.9903,239.6347,205.16606,224.57913,232.26811,963.5538,1077.7173,1113.399,1076.3541,1083.4629,1160.6168,1197.7749,1143.4628,1492.6279,1537.6146,1634.3105,1520.5576,1188.2754,1185.3591,1290.3705,1364.5519,1823.1307,1763.1534,1812.0508,1824.9371,1226.9708,1076.2786,1021.90875,1404.0814,980.14264,1092.7075,988.24207,1071.3608,1679.3158,1715.1309,1725.9513,1805.8816,0,0,0,0,2555.8374,2043.3826,2037.6847,2097.9958,763.1193,685.5995,758.8804,763.06226,1027.5587,1023.1556,1095.9093,1232.0365,7.8893604,0,0,17.965572,9.955163,0,0,0,763.5815,710.75964,728.1533,610.47424,0,0,0,0
"22908_267.136_12.627",235.22047,226.65889,277.07532,215.32272,161.73056,210.24323,248.16515,552.9883,561.2707,566.1155,602.4696,500.00998,519.50415,570.1612,552.7575,1596.922,1674.2555,1602.5519,1602.5005,1690.2831,1765.5833,1773.9685,1832.8365,2502.4285,2486.3657,2343.86,2359.9148,1286.1611,1373.1361,1321.7471,1247.0535,674.4701,643.21765,674.1639,685.01245,1153.5408,1225.9601,1210.3179,1025.6115,221.65749,149.66321,191.68604,176.81476,1990.6875,2025.3684,2152.6633,2153.8967,379.14185,359.20325,331.13586,412.53,768.59564,854.4965,861.71643,907.05707,458.45462,421.73175,417.01895,413.4087,532.39185,530.3506,436.53326,432.79474,1009.3302,1040.8663,996.94836,1060.8235,471.84827,577.22797,594.26636,503.8587
"19781_267.137_11.393",84.05734,124.37186,65.41623,141.7915,74.356575,145.81078,134.81754,179.7916,229.83151,201.08377,243.3431,235.17763,237.83594,207.7684,263.01923,401.71506,376.00565,315.01923,392.50668,436.079,497.19562,460.82394,546.5288,657.94794,625.55914,608.27625,528.4682,380.93552,370.67578,402.3122,258.25595,341.06137,279.5701,199.51567,306.82687,278.9621,313.56982,299.65073,353.2742,73.28369,9.321172,98.97439,63.944893,497.67062,538.4193,414.04095,501.45364,255.36469,217.67395,229.61797,236.87617,353.11346,401.42358,395.26575,424.65475,66.66672,0,218.46735,167.96991,159.67484,49.95724,208.00186,184.55443,416.9202,373.94714,406.8369,410.4876,353.0259,369.27277,310.27274,383.8819
"38859_267.848_18.469",2589.51,9689.642,9379.628,13727.308,12992.105,16055.862,19584.803,9817.927,12438.16,12647.677,10152.42,18241.256,18774.941,19022.086,16819.734,9525.929,9200.743,10957.945,10742.867,10885.213,15607.351,12821.9,14238.4795,8125.2583,8103.0596,11168.646,10013.794,10983.149,2050.48,17644.94,16294.44,16778.568,11413.581,17803.287,17080.889,11486.553,9098.378,16229.965,12280.356,2442.2893,2761.4893,2473.5828,2373.8706,16084.319,11581.572,16414.752,17793.527,18041.465,14135.908,15673.313,2464.8628,986.2329,1281.6165,1573.8124,1628.8503,47622.082,44059.652,3111.0054,2922.275,46069.504,2941.7344,2280.806,3013.1152,22689.002,23009.258,22668.902,25418.643,19303.844,3529.9346,21625.219,20544.877
"36941_267.848_18.012",1684.6985,1488.5503,1517.7808,1932.3706,1861.6786,1864.9484,1689.4215,1742.9027,1802.269,1768.8693,1754.0062,1823.1779,1631.0166,1971.7852,0,30063.54,1372.8055,1515.3127,1218.8998,1482.7224,1556.4203,1376.5035,1277.5791,13708.109,1372.3878,1291.1672,1205.0083,1360.6953,1330.3015,1432.7576,1449.5632,1614.145,1590.3365,33041.773,1720.6641,3514.5496,1600.6217,1454.6611,1439.3739,1997.3728,2287.28,2286.4941,2154.5037,1316.0809,1532.6403,1386.1224,1337.6073,32614.652,2039.0144,1946.19,1846.0939,482.47964,656.30817,800.31696,969.7169,2281.5198,1955.9624,2315.4172,2053.6582,1861.9382,1583.8239,1713.7432,2625.1147,1830.4546,30813.467,1474.5457,1564.8448,24460.705,2385.4727,38500.883,37219.195
"36209_267.848_17.703",2495.5562,5420.73,2148.9893,3072.2131,2839.262,2554.507,36537.773,2491.4521,3733.1853,2089.9973,2271.8232,2860.1567,2710.271,35803.242,31935.027,2610.8867,19862.176,14773.413,1859.5144,2616.084,12850.793,29567.871,2099.369,2078.2617,2051.972,13884.913,28417.617,2368.6245,28441.457,31596.197,29865.842,27290.49,27540.846,2476.9014,33137.996,5338.5527,5309.9854,3314.6843,9228.792,2759.3748,2565.5874,2499.1567,2718.329,31700.836,31343.924,31983.838,31537.904,2473.049,28990.828,2572.5928,35283.652,1432.6298,5327.3193,15013.131,1260.257,2186.7676,1942.3593,2016.7925,2066.4565,2449.945,2041.3323,2538.8582,0,2643.105,2793.93,2754.1057,35498.6,1686.161,1874.0474,2634.657,2642.4912
"2333_269.079_5.606",178.86719,323.0715,336.7742,444.0542,408.73566,411.1616,206.54268,1199.2023,1237.096,1416.9342,1326.2928,541.9437,573.5066,576.354,467.9348,1102.4991,1257.7639,1895.0544,1492.2904,841.2695,918.85986,790.84247,1037.7618,2241.5999,2432.2954,2251.6821,2498.5317,920.5837,803.86145,628.3856,773.9824,779.05835,750.11084,762.0662,273.3473,2389.7783,2426.143,2623.937,2201.8435,0,0,0,0,8890.398,6520.679,6797.3467,6630.6934,1086.3014,1036.6044,867.28033,789.31604,2810.7002,3623.3735,3071.346,3768.6233,0,0,0,0,0,0,0,0,2358.0576,1976.6051,2353.3887,1749.271,0,0,0,0
"2416_269.081_5.738",75.3862,170.7224,180.54025,79.416275,102.152,84.453735,58.774788,284.2799,232.20056,432.2943,442.25067,276.7049,135.84859,79.08563,143.79507,459.69287,439.16885,451.1306,579.942,384.72647,91.33756,313.6752,250.60812,864.0053,886.0846,918.14514,852.2608,250.12018,270.6706,341.61993,271.8207,189.78487,149.12051,183.76723,732.35565,759.82,811.8654,844.52246,777.21545,0,10.680972,0,0,2739.7856,2375.8923,2403.0698,2278.7087,294.14047,468.523,320.3449,174.945,1134.6631,1179.0483,904.5174,1118.2626,0,0,0,0,0,0,0,0,646.17126,601.72266,517.57166,468.26074,0,0,22.260452,0
"30479_269.139_15.128",7499.191,7909.491,7553.8413,3944.977,3822.9385,3859.902,3746.4922,8785.021,8490.655,8786.006,8808.388,8195.464,8019.7544,8425.973,8318.733,18310.45,18214.014,18496.004,17953.918,20986.74,21416.197,21981.453,21258.77,22536.04,22551.521,22827.295,23952.797,12553.99,12919.964,12854.425,13028.391,11546.039,11931.671,11972.496,11707.418,17056.959,16643.266,17049.707,17607.523,34.800705,50.44919,34.527042,67.57156,18656.312,19275.28,18932.533,19279.455,8053.1357,8242.701,7885.085,8128.1265,12359.083,11453.042,12846.594,12374.829,20.05795,38.528816,20.131454,24.124264,26.920683,40.507935,34.970768,39.365807,12976.325,12895.532,11901.868,12794.074,36.76052,17.63264,71.35646,0
"8590_269.148_8.299",0,0,17.457176,189.24158,172.46233,159.1838,136.60681,0,0,0,0,113.545334,113.04283,107.943245,170.88618,0,0,0,0,108.499664,73.278885,100.71837,264.61,420.7953,541.77966,594.71985,641.674,560.3813,413.43094,710.28925,796.128,261.76892,141.7623,327.71994,444.20413,0,0,0,0,5817.1016,5935.8936,5968.4873,5703.102,0,0,0,0,547.7078,556.52026,466.7919,577.94183,1008.7951,915.25323,660.601,622.0812,2860.678,2766.2795,2403.2698,2904.191,11813.174,11582.206,11890.25,8591.3955,1574.7891,1421.8859,1494.8025,1482.2113,1955.2474,1714.939,1771.4084,1807.8546
"28861_269.173_14.77",1224.7551,1187.7303,1212.0677,864.64813,962.1041,787.12067,862.1222,2144.726,2305.6665,2284.7222,1953.1172,924.44556,1059.5989,1207.7812,1036.927,8726.345,8645.047,8236.843,8617.282,1876.476,1985.5903,2229.9482,1829.1935,1703.8519,1690.3976,1881.6106,1942.3762,5460.121,5492.129,5463.1675,5727.4844,1127.8597,1052.7706,1029.197,1195.878,1268.8909,1280.025,1335.4147,1343.4026,27.595526,0,0,44.83924,2490.1235,2282.9229,2171.6973,2666.3303,488.13055,666.9169,559.7033,569.8447,1033.8549,1033.8384,1087.5137,1239.6156,92.59366,65.8027,0,138.67029,96.840126,0,0,155.69554,1444.7571,1539.1318,1342.7661,1735.0254,905.4868,991.3815,0,115.60448
"19485_269.174_11.263",78.15936,0,133.08035,160.972,155.61197,194.57515,191.99736,252.51486,310.85968,250.62894,220.86789,317.74966,360.36746,388.0948,341.46283,415.65515,419.221,448.5804,423.90875,641.673,688.8581,770.37695,725.4135,942.5577,931.68774,897.8031,782.22516,510.62665,416.5351,466.48898,432.1558,378.36917,365.23636,385.0755,353.0056,483.39252,468.95453,480.2932,436.13895,202.9415,185.61586,228.79276,224.85733,673.07104,788.67456,771.88873,770.7074,388.9645,426.83844,427.1256,414.82697,607.221,516.4496,474.18433,636.9013,566.75305,458.51874,622.62286,519.37427,183.79733,217.73325,181.23042,324.69287,593.46844,480.1675,521.1899,517.1641,1159.1924,1199.233,1216.3037,990.56604
"33625_269.174_16.424",127.7396,187.80798,202.25945,178.34618,166.41963,114.28941,117.31461,53.890327,199.10324,189.01982,236.41827,110.9306,43.598694,220.28381,235.66074,324.7618,370.84253,376.3813,485.16345,591.2004,613.53595,568.57275,643.3545,607.5107,614.32367,609.11334,549.1056,418.44955,379.04526,408.90714,507.75815,284.51328,253.86847,278.16974,240.02744,304.07684,296.3225,269.3194,248.5549,466.4434,529.23065,429.62927,604.42096,355.32153,315.70334,187.65106,246.6044,223.21869,173.2603,236.1913,146.13873,272.517,279.96613,230.08069,320.28937,871.445,877.9791,759.8218,851.74066,823.4281,804.1689,720.1039,698.79565,336.0534,366.10864,316.38953,292.68747,705.0249,775.2758,776.5726,811.4134
"31444_269.175_15.493",18352.89,18639.361,18928.936,8474.475,8691.967,9434.386,9168.551,28641.684,27206.139,29195.285,29146.348,24460.707,24607.49,26345.846,23482.016,54641.344,52917.402,55645.723,55261.03,59873.94,59942.35,58081.56,61436.297,65084.42,61348.31,62430.43,62862.56,33356.07,32540.13,30007.752,32529.436,31625.436,32267.062,33757.53,33046.676,47337.727,47041.914,48072.855,49846.754,0,0,0,0,57328.91,59290.535,62287.305,62366.85,25411.668,24577.287,26926.744,27638.1,32339.586,32185.32,32662.41,35690.57,0,0,0,0,0,0,0,0,38484.383,37692.363,42175.387,38258.586,0,0,0,0
"32899_269.21_16.074",0,0,0,0,14.852748,0,0,0,0,0,0,0,0,0,0,32.962086,16.421642,0,0,24.467405,50.67927,0,0,0,44.778793,0,0,9.875274,0,0,0,0,0,0,0,0,0,0,0,400.77942,373.72116,261.22675,413.2968,12.492734,0,0,33.297146,0,0,18.82966,27.830482,0,8.321083,0,32.435806,488.2255,443.9093,423.31183,480.0176,722.6348,431.0774,506.6425,482.46442,0,0,0,0,5305.1826,3642.6367,5544.98,4964.9907
"32711_269.21_15.978",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.133102,32.756863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.52847,172.58574,304.06332,194.77895,0,0,0,0,9.066378,0,0,0,21.11002,30.494144,0,19.698357,233.29138,238.77084,218.55072,302.604,257.6059,235.05081,308.14853,255.76352,17.838598,0,16.290688,0,1721.0083,1754.1229,1988.6063,1713.6505
"399_270.018_3.179",35.862602,0,0,49.02173,15.216258,29.708824,22.180666,15.841609,11.749325,21.472807,23.964329,16.628185,28.830585,24.148048,21.656546,25.73504,65.14759,55.780846,56.717407,32.62018,26.40802,90.1545,41.236534,207.40132,348.1806,336.91705,353.92227,34.0453,129.75569,124.854515,62.337852,35.971382,0,0,24.77082,19.000614,38.522427,92.19884,40.679775,425.8751,306.54767,456.73746,287.53403,273.59256,194.1667,381.06274,419.7438,230.21684,68.34759,41.85951,125.38967,114.052826,175.68025,293.97272,76.85773,1284.9884,1250.8702,1089.5859,1383.7983,527.3036,569.6296,586.93164,624.63007,536.5096,503.07812,490.68762,397.5125,1082.318,1102.4177,775.22095,768.0502
"30467_270.142_15.127",673.7896,588.0686,675.3027,126.69235,207.83548,326.87006,216.69412,792.1887,831.30664,658.45404,881.68097,789.24493,356.7345,740.46924,1097.584,1736.3749,1762.9473,1865.7174,1857.0017,2218.0942,2166.8965,3350.8809,2143.6995,3593.0615,2317.791,2421.4604,2288.0386,1252.4545,1301.1925,1339.4421,1330.8513,1205.624,1230.4083,1052.8137,1186.8853,1675.9572,1774.8308,1631.9501,2526.8853,0,0,0,0,2081.6982,2193.9138,3078.481,2140.8308,867.8526,806.59393,825.0184,777.73883,1111.9669,1284.5399,1135.4224,1152.4036,0,0,0,0,0,0,0,17.4033,1451.0745,1410.0635,1927.2957,1356.5991,0,0,0,0
"24454_270.17_13.141",397.17233,400.3326,373.9153,318.36212,338.59973,254.90617,325.48737,545.46277,399.28354,388.2022,435.3047,580.6332,593.032,662.35443,719.34344,792.8144,864.2226,734.167,865.8399,985.6947,1241.9414,1230.8331,1057.115,1224.2292,1165.511,1294.2618,1285.3789,931.6621,990.0051,960.6968,879.9623,702.64276,666.12854,737.53815,651.9066,835.3248,677.6203,889.9041,922.9573,825.45245,838.3978,907.4048,857.09393,892.72614,977.763,1052.2269,926.03796,640.00446,685.4663,706.54266,701.7164,694.19037,756.5262,661.58777,807.56305,2176.1282,1905.1937,2172.0547,2049.8333,2274.3079,2128.7783,2385.2727,1590.6024,955.15137,1021.9569,1024.1359,1079.162,2539.8037,2679.6934,2584.9795,2351.9482
"31435_270.178_15.493",3102.919,3360.9385,3390.1592,1477.7985,1473.2725,1609.3683,1615.2106,4893.8535,4796.7246,4948.6636,5202.0054,4290.4053,4169.305,4537.949,4432.6494,9342.111,9308.166,9583.769,9050.043,10205.711,10378.324,10427.211,10784.78,11236.911,11005.276,11545.135,12024.236,5655.733,5675.4424,5680.849,5723.9375,5600.587,5505.912,5640.181,5923.676,8272.397,8285.324,8559.306,8659.179,0,0,0,0,10567.642,10248.7295,10820.131,10481.01,4147.9224,4034.666,4428.1504,4565.7827,5623.7305,5645.8413,5925.1875,6075.897,0,0,0,0,0,0,0,0,6603.8066,6603.969,6814.842,6715.9,0,0,0,0
"3155_270.181_6.249",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.222195,61.790947,65.00217,74.21345,0,0,0,17.189022,0,0,0,0,0,0,0,0,342.81238,238.85461,326.23526,336.38556,496.64838,464.07657,544.49164,306.87354,12.243624,0,0,0,276.3877,247.83757,261.05356,301.78632
"3677_271.003_6.646",272.86273,271.5882,150.72795,572.4272,593.57025,477.39658,572.38885,703.4312,749.1161,774.2567,737.9073,509.72873,583.39355,537.98956,557.1634,859.3225,825.7613,809.3648,769.44293,930.92786,959.7133,980.7264,825.0483,596.2199,470.992,587.05316,522.8268,669.8287,778.64276,821.3788,691.6511,677.49695,607.50635,698.7425,713.3244,850.21173,702.39,729.88904,717.39935,432.27417,369.78214,506.69675,314.44397,1302.3334,1368.3984,1263.969,1281.4052,350.16867,305.15692,379.36383,348.71414,1302.547,1114.3904,1198.4723,1115.3381,274.97104,373.51953,407.4219,264.18488,34.41218,94.33444,0,154.53952,417.2071,462.66898,456.232,487.51462,368.18686,270.82318,351.25635,399.62494
"3059_271.07_6.219",35.043755,24.885933,54.78318,37.493,59.658504,58.071915,23.539062,46.716515,42.76862,116.867645,94.25159,75.74956,88.11871,99.3721,98.15219,118.109634,177.25172,199.1442,215.75165,147.88937,61.52131,59.033195,156.58102,206.69786,55.689865,375.9925,270.89886,234.88431,243.3393,250.41142,189.29117,96.76497,131.78822,135.71408,66.40227,106.83406,58.120693,95.94296,156.90022,644.2673,597.7843,560.719,563.42163,199.4675,226.29591,312.10117,173.48132,24.156273,71.42121,73.85336,133.10052,101.68397,185.67796,168.50801,225.94153,379.1999,541.29254,422.2798,892.40137,1029.0336,629.55835,948.9591,1127.8104,60.115936,101.29614,0,103.32022,392.19034,577.8008,348.32904,461.30994
"28994_271.109_14.781",1199.9714,1238.2579,1275.1864,1079.5831,966.95575,1093.7145,1089.5011,1503.2568,1581.9288,1465.8707,1596.8195,1269.0549,1302.6348,1172.3362,1282.0583,2174.347,2171.5994,1954.2479,2282.7808,2050.0918,1941.6355,2004.8163,1923.1545,2074.4321,2025.3511,1826.4575,2196.2068,1693.7595,1526.1605,1748.3119,1607.6815,1637.7518,1459.6406,1500.3777,1770.4965,1813.1375,1930.6953,1906.5342,1797.2219,6.8746114,14.094034,0,49.32164,2132.553,2116.5608,2122.4097,2202.8625,1415.3154,1525.4874,1532.1194,1384.2981,1096.1805,1321.7656,1512.5933,1440.172,20.075987,42.003098,0,0,23.83759,0,106.843155,46.568672,1392.3162,1423.7306,1406.6194,1368.2897,51.71643,29.051468,74.89405,0
"23501_271.155_12.794",2115.2239,1728.4824,2108.985,1164.6191,1120.8662,1218.0295,1237.2146,3828.1401,3661.5625,3689.7627,3744.8801,3531.3645,3624.2087,3702.7288,3527.319,6000.844,5946.658,6234.813,6096.4707,6633.0015,6759.609,6794.99,7106.066,7480.392,7452.237,7345.431,7583.0894,4702.279,4451.0947,4617.3496,4700.9585,4476.439,4470.789,4386.744,4450.3315,5783.65,5873.389,6277.7915,6060.376,12.066667,14.361293,0,30.337841,6760.521,6569.8984,6931.495,7315.982,2504.6558,2359.7515,2517.8364,2311.187,3763.5,3806.5557,3702.2698,3902.609,15.2247095,16.480598,0,0,37.662624,0,39.778942,18.72478,4117.5566,4105.256,4304.0527,4214.0024,20.92667,15.669268,0,23.864948
"25139_271.155_13.411",1384.189,1435.4401,1585.6736,871.08936,843.40576,869.89575,798.0718,2606.9875,2593.4941,2349.7654,2193.3567,2236.628,2351.9983,2311.8042,2174.8862,4517.574,4704.1265,4476.3433,4497.849,6099.2715,6038.209,6026.5713,6319.9253,7092.7925,7030.274,7104.991,6992.2446,3084.0806,3188.9182,3231.7246,3252.826,3513.3555,3310.7837,3350.641,3514.7974,4596.058,4666.114,4782.1104,4905.564,0,0,12.710052,0,4939.327,5452.0024,5264.718,5427.3613,1622.5192,1637.8538,1406.763,1559.29,2423.1033,2559.5796,2474.841,2462.5461,0,11.280533,22.72599,22.652668,22.22314,0,0,0,2981.8613,2938.6367,3036.6782,3223.5334,0,26.260546,16.759323,0
"21853_271.155_12.291",107.01368,116.36135,178.05768,119.62338,184.06483,141.28207,132.27975,253.20251,295.4016,351.57043,389.85632,238.18027,228.09761,283.7063,320.91064,487.57184,475.7694,547.7921,668.9996,289.43695,522.458,382.98862,347.15103,636.5189,795.50085,750.4191,691.73035,345.3224,411.38605,418.27563,413.7422,371.5881,315.6009,300.96808,367.23108,451.92194,458.06308,496.8814,486.31564,20.503342,21.401285,19.443169,20.079922,842.1101,1013.5953,776.8553,1038.7848,263.87238,189.25604,134.4103,245.324,509.62277,499.29727,582.2237,544.1513,14.507847,13.66741,23.898642,0,7.896176,0,0,20.136238,300.0089,426.18448,533.8002,525.8678,13.298377,19.055014,0,24.784714
"27502_271.155_14.255",18366.041,18493.006,18004.047,8867.403,8964.017,9295.956,8574.234,27996.355,27955.55,28007.36,28146.43,25253.79,25384.94,25388.045,25312.52,55025.426,55194.008,54337.066,55593.934,68778.125,69145.57,70407.516,71277.86,71044.12,68875.57,71454.33,71866.11,34613.26,34170.715,34327.297,34201.023,37683.625,37775.91,38826.113,38276.496,51672.547,51004.45,54258.28,54411.742,21.494612,0,0,0,55184.727,53986,56521.312,56448.12,20456.514,20390.63,20272.535,19793.957,28434.754,29217.125,29523.193,28981.207,0,0,0,0,20.326065,24.706982,0,43.967068,32682.531,33697.98,34491.46,33050.918,19.253563,35.442326,0,0
"25834_271.155_13.753",906.31226,1135.1018,854.4671,636.0155,668.70557,704.9264,618.47797,1808.8724,1778.9844,1905.2466,1929.8181,1606.3893,1647.0964,1517.0334,1581.1794,3378.1277,3448.9612,3631.0125,3569.728,4421.6313,4478.576,4662.663,4012.8652,5751.193,5891.877,5453.418,5235.197,2321.1216,2292.1392,2178.7295,2093.7322,2701.9204,2681.7747,2689.4517,2465.2014,3046.0977,3300.7727,3112.1802,3385.0667,6.4490094,9.232672,0,0,3658.616,3510.5967,3938.6038,3930.0574,1195.3918,1477.8523,1452.8539,1465.9219,1736.2219,1908.156,1605.0209,1972.0212,0,12.395725,15.91421,0,10.801082,21.807816,0,0,2174.7043,2022.3857,2213.0972,2008.3562,14.78365,0,0,0
"26765_271.187_14.035",1422.6034,1370.8535,1267.4938,625.991,713.419,621.1805,800.0486,1816.9991,1986.4253,1885.4521,1771.8247,1536.8507,1540.075,1608.7803,1676.3365,3896.4138,4204.2827,3987.9077,3995.529,4375.919,3978.5872,4405.175,4816.3926,4299.9893,3408.5723,4202.0503,3486.5005,2579.295,2723.9736,2591.8176,2657.869,1731.251,2177.3792,1949.7775,1840.8945,2325.4836,2544.6724,3135.185,2648.9995,0,0,0,0,3366.4397,2996.9062,3641.321,3680.6226,1297.6656,1262.5879,1325.8347,1226.0054,1675.8508,1915.2627,2271.709,2124.5562,11.873082,0,0,0,0,0,0,0,2511.457,2385.2178,2600.5479,2519.2842,0,10.766484,0,0
