"","01-HLB_221116_pos_iaMSMS_01.mzML","01-HLB_221116_pos_iaMSMS_02.mzML","01-HLB_221116_pos_iaMSMS_03.mzML","01-HLB_221116_pos_iaMSMS_04.mzML","02-HLB_221116_pos_iaMSMS_01.mzML","02-HLB_221116_pos_iaMSMS_02.mzML","02-HLB_221116_pos_iaMSMS_03.mzML","02-HLB_221116_pos_iaMSMS_04.mzML","03-HLB_221116_pos_iaMSMS_01.mzML","03-HLB_221116_pos_iaMSMS_02.mzML","03-HLB_221116_pos_iaMSMS_03.mzML","03-HLB_221116_pos_iaMSMS_04.mzML","04-HLB_221116_pos_iaMSMS_01.mzML","04-HLB_221116_pos_iaMSMS_02.mzML","04-HLB_221116_pos_iaMSMS_03.mzML","04-HLB_221116_pos_iaMSMS_04.mzML","05-HLB_221116_pos_iaMSMS_01.mzML","05-HLB_221116_pos_iaMSMS_02.mzML","05-HLB_221116_pos_iaMSMS_03.mzML","05-HLB_221116_pos_iaMSMS_04.mzML","06-HLB_221116_pos_iaMSMS_01.mzML","06-HLB_221116_pos_iaMSMS_02.mzML","06-HLB_221116_pos_iaMSMS_03.mzML","06-HLB_221116_pos_iaMSMS_04.mzML","07-HLB_221116_pos_iaMSMS_01.mzML","07-HLB_221116_pos_iaMSMS_02.mzML","07-HLB_221116_pos_iaMSMS_03.mzML","07-HLB_221116_pos_iaMSMS_04.mzML","08-HLB_221116_pos_iaMSMS_01.mzML","08-HLB_221116_pos_iaMSMS_02.mzML","08-HLB_221116_pos_iaMSMS_03.mzML","08-HLB_221116_pos_iaMSMS_04.mzML","09-HLB_221116_pos_iaMSMS_01.mzML","09-HLB_221116_pos_iaMSMS_02.mzML","09-HLB_221116_pos_iaMSMS_03.mzML","09-HLB_221116_pos_iaMSMS_04.mzML","10-HLB_221116_pos_iaMSMS_01.mzML","10-HLB_221116_pos_iaMSMS_02.mzML","10-HLB_221116_pos_iaMSMS_03.mzML","10-HLB_221116_pos_iaMSMS_04.mzML","11-HLB_221116_pos_iaMSMS_01.mzML","11-HLB_221116_pos_iaMSMS_02.mzML","11-HLB_221116_pos_iaMSMS_03.mzML","11-HLB_221116_pos_iaMSMS_04.mzML","12-HLB_221116_pos_iaMSMS_01.mzML","12-HLB_221116_pos_iaMSMS_02.mzML","12-HLB_221116_pos_iaMSMS_03.mzML","12-HLB_221116_pos_iaMSMS_04.mzML","13-HLB_221116_pos_iaMSMS_01.mzML","13-HLB_221116_pos_iaMSMS_02.mzML","13-HLB_221116_pos_iaMSMS_03.mzML","13-HLB_221116_pos_iaMSMS_04.mzML","14-HLB_221116_pos_iaMSMS_01.mzML","14-HLB_221116_pos_iaMSMS_02.mzML","14-HLB_221116_pos_iaMSMS_03.mzML","14-HLB_221116_pos_iaMSMS_04.mzML","16-HLB_221116_pos_iaMSMS_01.mzML","16-HLB_221116_pos_iaMSMS_02.mzML","16-HLB_221116_pos_iaMSMS_03.mzML","16-HLB_221116_pos_iaMSMS_04.mzML","17-HLB_221116_pos_iaMSMS_01.mzML","17-HLB_221116_pos_iaMSMS_02.mzML","17-HLB_221116_pos_iaMSMS_03.mzML","17-HLB_221116_pos_iaMSMS_04.mzML","18-HLB_221116_pos_iaMSMS_01.mzML","18-HLB_221116_pos_iaMSMS_02.mzML","18-HLB_221116_pos_iaMSMS_03.mzML","18-HLB_221116_pos_iaMSMS_04.mzML","19-HLB_221116_pos_iaMSMS_01.mzML","19-HLB_221116_pos_iaMSMS_02.mzML","19-HLB_221116_pos_iaMSMS_03.mzML","19-HLB_221116_pos_iaMSMS_04.mzML","20-HLB_221116_pos_iaMSMS_01.mzML","20-HLB_221116_pos_iaMSMS_02.mzML","20-HLB_221116_pos_iaMSMS_03.mzML","20-HLB_221116_pos_iaMSMS_04.mzML"
"1836_181.121_7.863",1227.3817,1300.7815,1072.9542,1470.6775,3081.8662,3629.7012,1787.8204,2031.9548,5510.869,4951.2812,5519.755,5413.422,3375.0806,4112.096,1694.9226,4214.8657,8905.669,6910.847,9155.488,5734.491,5953.801,6293.974,7356.857,7542.433,7109.192,6299.201,7266.728,6453.1113,3648.7175,3712.4275,3971.0708,3927.6501,2068.2695,2272.4634,1717.6001,1830.9883,6066.1953,5789.687,6525.652,6257.1323,0,0,0,0,8458.296,8278.953,8648.81,8214.098,2280.7012,2595.8652,2495.809,1783.3401,3437.2375,5576.451,5194.7285,3748.6252,0,0,0,0,13.246389,0,0,29.00195,0,0,0,0,4053.937,4135.9634,2062.6274,3268.8706,0,0,0,0
"2147_181.131_8.095",0,0,0,0,0,0,0,0,0,0,0,0,293.79996,158.77899,230.94739,116.60166,0,0,0,0,0,0,0,0,0,0,0,0,47.602406,65.30661,70.006744,0,0,0,0,0,0,0,0,0,250.17984,218.40012,265.92365,298.75598,0,0,0,0,156.93039,86.41066,0,201.79773,0,0,0,0,693.6956,687.13873,609.6118,659.1235,649.62787,739.7035,636.3952,681.8452,257.0071,251.49107,250.38388,255.58238,0,0,0,0,0,0,23.568113,0
"3467_181.133_9.205",0,0,0,60.738327,20.393139,48.06572,0,42.09208,90.01244,64.91954,73.359436,122.75471,64.16797,61.23694,51.97992,90.841125,100.427155,23.86549,71.657455,100.15086,76.407104,94.433914,86.62869,85.89789,78.44022,36.894966,138.13641,163.73154,84.36153,106.49483,154.39893,116.35422,109.18089,107.96227,47.169304,115.699,36.146946,34.219063,107.50278,68.83913,2270.0952,1937.7363,1981.7389,2342.0972,56.947014,39.565643,97.82052,0,96.388565,58.81286,25.561918,114.904045,134.45593,97.91513,82.557816,49.208107,2222.5706,1977.6368,2090.9958,2054.3997,5426.5293,5233.028,4518.9146,5036.4087,3551.5354,3732.6045,3540.1274,3687.0151,83.40586,101.13028,128.31262,75.085815,849.7306,820.32745,826.0169,785.9594
"4179_181.157_9.764",343.05994,362.80014,378.21033,359.1722,148.3408,173.13206,141.5598,119.50969,472.3249,464.0615,414.794,405.26294,325.44745,334.69855,346.7249,417.39075,820.8531,806.91113,876.3591,857.4651,1158.9819,1067.8345,925.5087,972.2814,901.26276,833.0386,820.1534,683.6253,432.9768,501.4085,473.13632,473.8009,466.3873,465.9544,440.13876,361.8041,762.8805,762.7646,722.15735,627.3376,0,0,0,0,1157.0778,1182.0077,1212.6406,1101.598,281.12018,276.39066,283.6362,243.20833,385.5949,534.7077,581.11743,501.44647,0,0,0,0,0,0,0,0,0,0,0,0,603.52875,623.38324,479.95648,518.2195,0,0,0,0
"4639_181.158_10.261",1072.5638,971.216,1016.0686,817.34814,385.23352,375.39157,452.05768,323.29437,1241.4626,1469.0156,1437.0184,1121.5973,1118.9004,1109.2185,1085.9962,862.9131,2810.0635,2744.9675,2767.3447,2791.0186,3184.244,3192.5432,3228.5547,3195.9219,2615.8818,2794.38,2518.9868,2232.121,1585.6942,1304.7509,1505.259,1267.3745,1262.4668,1342.387,1335.5801,1340.0403,2355.3933,2352.942,1730.7866,2317.743,0,0,0,0,3624.1812,3690.9753,3619.042,2917.5684,850.4068,823.942,696.87854,858.11664,1512.0928,1430.7489,1106.1884,1421.3716,0,0,0,0,0,0,0,0,0,0,0,0,1627.2351,1753.3955,1815.2053,1667.16,0,0,0,0
"4852_181.159_10.542",1217.164,1652.9318,2247.0952,2428.6125,828.3746,1077.3988,1070.7372,1148.987,2478.5286,2318.4148,2413.6194,2326.5837,2182.9863,1931.5703,1841.0902,2023.0518,4545.341,4828.3833,4662.3833,4133.656,4096.605,3951.7788,3905.422,3944.2249,5101.616,5000.434,4757.862,5049.2886,2439.7896,2603.528,2698.8916,2780.6865,2362.5498,2403.828,2478.766,2249.6208,3562.7651,3926.6116,3877.797,3595.1565,10.104748,12.6674595,0,0,5714.545,5578.024,5041.64,5165.5215,1755.3241,1657.5128,1636.6942,1638.2039,3477.4033,3321.7107,3325.4895,3234.0552,0,18.78756,42.813457,44.87034,20.70117,17.46593,44.13535,0,0,17.815735,0,0,3058.8594,2883.6577,2709.56,2768.5889,0,39.05362,0,0
"4854_181.16_10.543",2660.3125,2606.8892,2371.318,2072.371,1161.1265,1127.2657,1155.6979,1089.0271,2392.3855,2420.2756,2161.546,2326.5837,630.9934,1797.5682,2012.7566,1555.4817,3035.0024,3670.9417,4278.2886,4133.656,3652.0154,2199.419,3530.7686,3463.4812,4657.235,4466.242,4697.9263,4577.9976,2527.3477,1447.1133,349.18433,2443.0728,2135.6238,2187.841,2169.7456,2249.6208,3715.5454,2336.0913,2719.4004,3148.526,0,12.6674595,58.392036,191.79556,4851.7515,4095.7104,5486.924,2766.5566,780.32495,1213.3091,375.24347,1638.2039,3267.9268,3083.5312,3169.9292,2727.3452,42.385475,44.1399,42.813457,44.87034,20.70117,46.450756,44.13535,66.35986,0,17.815735,0,0,999.19775,2664.5244,2428.262,2768.5889,40.366367,10.359468,47.876503,60.481888
"508_182.118_5.953",799.6529,478.8145,735.87213,900.6185,677.34753,900.2402,773.66077,693.7638,869.7752,705.12854,776.4958,1099.7664,1383.3,1358.6215,1197.2073,1304.6263,225.04898,89.97404,189.13823,195.3183,334.59943,308.0824,388.14935,219.6205,157.30983,257.4298,294.5099,293.57736,659.0199,685.10626,687.26013,698.14966,945.4012,1230.1547,1012.83954,1185.6156,800.027,654.35095,1063.2219,848.8712,5201.3477,5141.6514,5087.206,5094.296,868.7386,783.5826,517.2305,579.02155,1607.9839,1916.829,1620.0801,1422.2023,1940.0829,1601.0662,1722.5476,1884.2966,6279.76,6227.967,6047.0635,6164.728,6318.679,6584.1553,6538.1514,6463.716,9202.008,9332.965,9786.938,9120.277,2440.3865,2692.402,2737.5627,2365.9893,9900.3955,9972.668,9944.109,9481.27
"10001_182.153_18.674",9148.709,9188.588,9595.314,9000.139,4698.3413,4801.704,4638.4287,4251.476,296.9923,302.72397,287.83826,309.47284,3803.245,3750.5327,3767.671,3837.2002,1022.9892,1130.4731,1011.24896,1060.645,1434.527,1398.8522,1484.3177,1399.2007,3273.2993,3231.512,3113.5671,3058.7134,20.478962,13.387714,62.715836,25.885452,8570.766,8425.172,8788.758,8574.471,8065.837,8046.092,7945.1733,8168.492,1402.4,1280.9119,1088.4744,1406.477,738.0447,772.1948,736.0239,725.1696,5591.391,5385.019,5375.5415,5660.6396,7952.31,7846.901,8062.24,7796.841,6301.9014,6406.41,5824.7944,6347.355,2524.7283,2684.932,2553.8892,2587.1985,1593.9596,1673.7094,1712.4946,1576.0311,188.95526,221.43613,185.5206,170.87549,6.654491,0,39.237125,26.950277
"1571_182.166_7.553",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.09077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1273327,0,0,0,0,0,0,0,0,0,0,0,0,0,602.8217,591.0779,611.83875,569.29297
"6160_182.569_12.656",886.27844,814.74304,787.27045,744.95544,918.162,954.077,881.5434,887.0612,1403.6302,1429.6377,1296.5931,1341.9945,1447.542,1562.4978,1588.9115,1407.5481,2278.2441,2272.9077,2177.058,2148.9148,3119.7156,3201.2239,3225.214,3274.793,3907.0076,3770.5967,3713.0776,4104.589,2629.3662,2809.6829,2737.5493,2708.8276,1878.3793,1825.801,1690.4663,1522.1843,1846.6874,1871.6201,1984.6176,1747.7958,3503.3853,3532.935,3436.1848,3597.6428,2410.7476,2297.208,2107.6187,2369.808,1258.4152,1338.6066,1303.013,1390.6562,1694.073,1666.7654,1767.0323,1716.8026,3185.8125,3523.9075,3586.7983,3348.8345,2828.2925,2849.3843,2681.27,2819.6453,3347.0693,3731.779,3596.568,3166.481,1618.8683,1673.0642,1679.5736,1637.2053,2725.8735,2754.8564,2838.7974,2697.5476
"133_182.985_4.224",9558.8125,0,0,0,9566.861,0,277787.34,6931.4814,6816.4854,0,271569.38,0,9603.445,0,277684.56,0,9393.919,0,260898.14,274509.2,6791.031,0,273370.1,0,6431.333,0,0,0,0,6717.31,0,273316.25,10019.283,0,275282.94,6256.79,266376.2,6675.1562,0,264793.53,263073.2,0,0,0,0,8197.092,0,263699.25,10058.952,10078.135,0,0,262126.89,0,0,9720.238,0,7448.9736,10026.859,252799.81,266725.06,0,0,0,261415.98,270565.22,260708.22,9838.721,0,8788.827,267861.2,0,252811.33,248295,9854.799,6526.649
"123_182.985_4.119",8002.0537,7488.409,10154.689,0,6715.3706,0,6712.5293,9961.932,8013.366,0,9306.287,8978.327,0,8444.064,0,272652.6,5692.355,0,0,6846.5254,11031.805,8978.197,0,275353.34,0,0,259234.53,266062.3,9227.075,8055.897,271948.66,9430.574,0,0,0,272671.72,9434.476,0,274650.1,6674.9414,9045.555,9674.182,6596.7656,260032.83,8411.129,0,270400,0,0,0,10049.5205,0,0,9846.844,0,9314.79,269346.5,9356.977,254225.88,8720.847,0,265023.66,256375.42,0,10425.62,11046.934,6572.9165,6674.128,8698.945,0,9984.507,0,7463.4233,9739.356,6666.685,9452.268
"2929_183.137_8.679",574.68414,678.65625,586.4686,526.768,325.0318,247.25938,253.98862,252.50632,635.10046,793.8427,664.9096,608.0315,605.9254,685.76953,530.99274,540.27985,985.93726,920.5917,1114.3998,830.77057,1008.0913,952.1341,691.03436,1072.055,953.38684,906.01416,979.6072,1795.6409,610.90546,686.6457,539.7631,559.5239,560.8479,813.1676,562.7041,482.12866,1196.3663,1079.6615,1002.91595,945.99146,0,0,0,0,1494.9716,1883.7097,1858.2086,1346.8942,476.0284,505.71277,421.86124,392.4302,1077.7208,890.1084,762.84454,1287.3723,0,0,0,0,0,0,0,0,0,0,0,0,1070.9432,1069.9587,778.1743,967.0634,0,0,0,0
"877_183.147_6.677",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374.7397,398.48758,469.7316,458.39923,0,0,0,0,0,0,0,0,0,0,0,0,173.74956,131.2934,171.29115,213.23251,1630.415,1718.883,1835.5753,1988.7241,701.0302,846.62317,712.34827,579.9595,0,0,0,0,130.58112,118.18487,76.10776,165.32059
"68_184.059_3.179",348.38892,513.45404,388.15802,402.9146,966.4348,586.9735,404.53946,946.48,478.57275,460.2606,374.45694,731.6867,709.5537,1065.9832,737.0675,1205.7886,2244.1777,2071.117,2339.8906,2067.2825,2000.9883,2190.9146,1880.821,1942.7777,10687.823,10260.492,10286.718,10094.235,3149.614,2918.7332,3192.6477,2929.8203,1260.769,1155.5347,689.21387,670.6475,1974.2108,2132.2263,2094.6357,2090.3896,12526.635,12813.088,12817.761,13153.537,11818.949,12926.52,12170.087,12407.859,5717.949,5425.933,5294.9565,5195.0225,4251.968,4496.0396,4648.6665,4613.8066,26376.951,25641.55,27527.53,25647.055,17139.258,19166.2,17885.887,17787.86,19548.004,20160.117,19351.904,20461.145,12720.503,12608.715,12427.401,12671.551,23293.223,24926.416,24723.342,25346.898
"10737_184.133_19.928",899.05566,926.53687,845.4481,675.41254,303.22937,262.7292,264.99097,221.49832,25.708164,21.566635,36.417374,46.821205,252.3574,240.40086,247.65144,143.7329,82.44462,81.75459,43.286087,87.343636,87.01841,64.26342,136.30608,118.812355,194.57219,224.171,190.87862,164.28905,0,22.371155,0,0,541.3441,567.4225,578.84436,540.20337,1024.9825,962.3817,777.65234,708.1439,138.84712,130.5025,136.12524,142.58728,62.464645,48.31737,82.878136,44.24963,325.82202,346.77557,295.4082,261.8029,629.3895,733.43933,661.5387,740.1358,475.038,398.15656,356.70972,439.0999,218.95058,174.1963,199.60974,161.60574,174.57207,166.37358,114.183365,128.5115,10.962191,29.930191,22.566273,0,11.585352,10.895899,43.776005,34.866188
"3137_184.133_8.922",11386.289,11565.551,11800.794,11416.97,3898.924,3867.7024,3887.3394,3475.731,12014.0205,12071.47,12770.378,12321.37,4609.3203,4528.4146,4625.7217,4585.396,4674.125,5069.297,5154.376,5217.61,9070.113,8595.069,8612.895,8865.125,5083.975,5471.8047,5298.187,4950.507,6490.2935,6094.675,6246.808,6064.491,6008.4893,5945.879,5116.853,5969.003,19199.766,18812.746,19656.018,19493.324,6360.7456,6363.143,6341.55,5944.548,5999.8633,5974.468,5643.3325,6594.9634,4636.025,4638.451,4698.772,4552.656,8205.405,8088.6436,7575.7695,8282.528,7979.6064,7953.6924,7483.651,8128.111,3581.0386,3640.2695,3605.5032,3637.7327,5134.638,4846.7246,4799.5923,4399.1772,4391.0415,4519.886,4377.303,4661.2354,5382.468,5448.176,5656.2446,5699.7383
"10533_184.134_19.588",1138.7377,1253.1755,1247.4216,1260.3931,418.89423,414.4336,457.7882,296.81332,0,34.950916,0,0,328.27664,350.285,391.6458,281.7816,90.54797,147.31474,103.58932,69.12799,126.79745,105.09678,159.26585,125.31809,285.89084,253.3147,199.46567,222.14767,19.276915,0,22.860497,0,792.2883,910.21313,838.6929,722.5845,1269.5623,1281.4731,1333.6743,1089.5422,118.00201,75.13132,188.21156,136.82542,18.210085,0,57.321922,53.17765,491.85522,486.82712,378.8075,350.30548,1133.3945,1035.1753,1040.1372,1026.1194,451.48505,617.70844,510.41028,617.5336,259.57333,254.49011,200.39969,298.21545,118.724434,208.69281,202.67148,159.10922,0,18.578129,0,24.68368,0,0,0,0
"2854_185.152_8.609",4744.3843,4572.1094,4848.1943,4864.6724,1844.3866,1943.7617,1639.4115,1582.4641,5316.083,5106.634,5020.8574,4700.4204,3707.3628,3818.9377,3292.8743,3832.062,8323.765,8209.173,8459.315,8588.003,4334.993,4258.3955,4131.9414,3618.8567,1982.0337,4999.211,5202.104,5131.195,3895.2725,4035.8025,3946.7356,4075.411,3704.8494,3577.695,3654.4006,3384.7957,6938.6772,6833.557,7114.2783,6643.844,11.136709,0,0,0,10054.151,10774.818,10361.475,9739.419,2787.7246,2500.2507,2641.9963,2487.6472,5963.0312,6064.1553,6021.1675,5690.5513,6.7498846,0,0,0,0,0,11.346625,0,8.310507,0,10.478777,0,4897.284,5109.284,5100.452,4779.9453,10.090781,7.831958,0,0
"4605_185.152_10.18",384.83936,421.5703,347.53482,505.03088,292.7859,299.5826,332.24417,354.53616,565.5228,676.74786,798.76056,806.66614,418.79364,416.29578,391.85284,490.06937,666.57227,725.81885,697.3579,769.417,595.8457,565.8097,602.23126,530.7711,613.25195,631.94006,600.615,769.90936,357.62402,362.33765,552.0542,450.92944,471.07413,417.2162,373.0312,532.3963,504.3866,678.7736,602.4993,605.9856,0,0,0,0,1102.2357,1071.8616,1000.4233,989.1191,488.14407,614.8634,366.82596,509.83344,802.39746,722.3424,727.3337,767.3454,0,0,0,0,0,0,0,0,7.3845496,0,0,0,499.11945,598.83203,658.3961,781.15393,7.998826,0,0,0
"4372_185.153_9.983",1162.2693,1126.7589,841.5224,1034.041,793.2401,825.74896,879.6218,761.17847,1799.3363,1708.9275,1789.4042,1702.9805,1550.0874,1458.0237,1529.6283,1943.1074,1351.8604,1172.8937,1347.2551,1218.3391,1264.5139,1187.626,1305.7383,1396.4823,1290.569,1199.3212,1361.3342,1169.2212,955.44305,1028.5289,1082.6454,1554.2737,1050.4579,1064.5227,833.3283,876.0958,1326.5743,1071.6504,1307.1875,1142.0869,11.830798,10.797939,0,0,2462.579,2584.7563,2479.931,2360.8745,1591.1035,1466.2799,1528.1064,1603.612,1822.0201,1811.3169,1828.9309,1840.6299,0,0,0,0,0,9.939161,0,0,0,12.237077,0,0,1539.088,1543.2871,1605.3428,1333.057,23.788845,10.888378,0,0
"3029_186.058_8.817",71.20686,105.631256,108.91962,134.63092,242.83011,282.4338,189.98376,236.70065,350.01633,358.24188,376.7768,309.29395,234.6427,213.56052,178.56801,236.16315,755.43884,705.78357,743.26575,775.1383,885.9349,861.9332,997.4203,986.67053,779.2001,804.7986,772.7474,736.8527,1834.2477,1823.0859,1873.0162,1711.0417,300.5344,284.79047,293.99524,256.2092,323.3895,353.96515,327.51196,214.75595,692.967,629.2961,559.3114,615.52893,957.0186,813.8504,839.48083,818.27075,208.75826,170.3122,162.12051,206.5034,1304.628,1220.9563,1174.2323,1082.3617,291.1342,309.41388,267.10138,227.90034,876.2139,850.5616,877.1674,840.93225,865.3531,925.8134,881.5278,834.1713,1086.274,1172.5708,1127.0095,1080.8176,0,10.497614,0,0
"874_186.059_6.675",45.242588,24.611256,25.062687,0,72.64116,28.685667,86.94212,58.125076,215.58615,169.72672,208.0977,137.87048,267.6686,278.8619,261.62616,215.98958,293.79886,327.63266,286.80347,247.7058,191.62262,243.13141,229.10677,175.52829,413.682,533.06726,535.655,435.73645,306.26218,326.19647,370.128,303.6138,56.778046,94.447586,54.334846,52.24537,451.40775,418.573,434.259,359.38254,0,0,0,0,942.7187,877.8515,993.5208,930.869,150.08072,152.20041,171.72464,176.28723,330.02545,273.98007,237.97466,269.55225,0,0,0,0,0,0,0,0,0,0,0,0,270.4007,278.5563,192.5661,270.56674,0,0,0,0
"680_186.113_6.291",2082.1145,2008.6948,2153.7773,1948.3464,277.6991,257.02206,318.152,259.0405,1129.111,1200.9956,1067.0094,1052.1024,173.50183,242.83763,252.1166,245.15018,220.7077,275.9808,167.3847,0,488.0838,514.89185,296.38458,395.5244,223.77402,218.84215,249.84647,185.13153,182.19167,164.93199,205.0803,195.57559,290.3997,310.98022,274.492,210.19234,2178.5247,2077.512,2138.8123,2263.1284,260.51,279.31543,304.87204,234.64432,175.26027,224.71252,185.8148,125.76811,231.37079,269.4474,236.7327,274.09933,604.05164,627.7292,604.6602,602.9605,249.24062,241.73103,183.31644,179.8888,132.93866,102.83614,79.161514,80.36803,174.14447,168.22748,235.08887,273.31384,245.2571,205.38167,227.88132,215.1964,81.137985,74.02573,28.605331,80.57736
"339_186.113_5.469",2733.2258,2194.4172,0,531.1736,140.68585,0,96.40101,0,407.6293,355.93103,391.37015,236.99878,0,91.67466,0,148.51743,0,0,0,175.6539,222.05458,146.54425,205.44339,145.42642,0,91.04715,78.15577,0,49.279873,0,125.67859,79.477,118.00604,77.32998,99.28656,105.84815,1960.9253,525.38794,2198.484,1518.1506,137.24194,162.82425,128.36398,103.17043,46.853622,28.003849,89.69773,80.22922,55.483223,131.27095,49.760017,67.70534,52.960915,100.39174,139.1923,152.90001,185.385,152.24654,220.4081,188.1039,0,94.93771,71.031006,37.858803,122.7767,127.97652,0,131.4959,53.513115,23.631437,0,23.947083,0,40.96381,23.154572,0
"10739_186.148_19.93",2441.6445,2330.775,2238.8108,2295.8303,638.07526,765.7105,628.5631,581.219,156.27963,210.23468,190.33836,119.65347,550.75574,540.66547,486.8654,628.5516,200.77472,218.70862,191.46552,220.0657,318.65106,321.3488,297.47046,382.9562,500.51956,522.76465,580.3167,472.36346,49.61822,29.107445,0,0,1632.6896,1677.5664,1509.529,1615.7025,2579.1038,2503.177,2394.5122,2538.5208,329.418,334.82547,335.81982,337.44147,171.6817,134.50677,151.47118,151.36145,921.76276,949.9531,913.01965,682.8253,2009.2302,1963.2701,1893.3386,2093.6047,1126.1588,1123.5854,1071.7767,1191.4578,538.5434,521.70447,460.77917,442.04968,360.72595,421.27066,370.12857,408.57452,75.557724,64.18787,0,80.20311,47.857464,16.551123,48.34295,47.985146
"3986_186.148_9.586",4693.1484,5297.672,4835.3477,4483.6514,1677.7008,1760.4315,0,0,2291.3481,2438.494,2036.7135,1832.8225,1194.5604,1672.0066,1342.2935,1686.0685,1114.8846,782.66315,1121.7319,854.7301,1911.7498,1854.7175,1752.8577,992.3107,1097.7096,1011.56824,985.2942,754.61,815.1714,699.4961,616.3597,469.76895,1895.6483,2262.2637,1996.9598,1465.0916,4949.587,5540.7344,4920.5166,3350.892,1149.3016,0,0,0,635.99677,743.4097,881.2049,0,1235.5486,2047.2976,1312.8562,1541.0657,2711.589,2530.5862,2603.8464,2434.0168,0,0,0,0,0,932.6566,0,0,0,0,0,0,411.87762,403.47498,422.09644,381.29932,440.64124,0,384.78113,0
"6836_186.221_13.849",1084.9785,1063.7565,916.2371,1117.6119,1197.5061,1185.1312,1030.9874,1137.9972,791.5368,886.27563,686.2615,834.5175,830.3798,768.0254,820.5488,693.01227,1257.67,1290.9047,1371.5762,1205.2019,1261.6523,1383.4098,1277.2849,1288.4009,1556.2059,1556.8508,1515.7264,1428.208,623.8267,696.80115,574.9438,693.1428,1124.7299,1110.6278,992.3651,961.5891,805.1876,906.3597,707.97144,799.7736,2225.0474,2136.4749,2176.7803,1949.7709,1104.9999,1134.6996,1077.0499,812.8608,757.38306,796.0864,717.3965,662.7469,1642.7451,1704.7195,1468.7786,1588.2092,1591.1216,1562.409,1441.7128,1408.3359,1593.4752,1742.0791,1570.6111,1377.3408,1884.4001,1907.7883,1871.0232,1924.9332,1082.2775,1034.6298,933.8372,964.063,2417.9875,2350.7505,2268.611,2275.864
"368_187.142_5.606",0,0,0,0,13.167833,14.647942,0,17.848003,11.841568,0,0,0,57.44284,86.84128,50.062435,96.742294,0,0,0,0,31.3214,73.25187,75.86838,64.15175,185.68742,112.438156,76.16428,76.32866,122.95101,101.90025,92.00126,116.51407,34.834084,41.370785,52.267685,73.05369,0,0,0,0,2841.9653,3198.7593,3597.1904,3260.7593,25.23196,23.584791,18.616405,0,20.295513,65.98578,39.20455,0,85.78592,59.69411,112.77835,135.44305,1495.0623,1775.5465,1148.409,1875.4448,5821.136,5847.379,5835.5366,4035.7678,4154.6904,4234.5273,4388.325,4335.332,70.34152,19.738316,71.07969,161.20976,1526.8376,1228.5916,1608.4943,1256.1448
"744_187.143_6.44",1706.6007,1771.4763,1706.3547,1834.6874,173.42749,184.80338,167.87793,222.17722,887.3602,897.8482,868.4635,812.4923,114.33847,213.35828,211.3279,181.30365,188.47794,169.95686,168.5433,153.4871,285.41583,337.72797,286.91248,342.7385,170.79112,153.4687,146.2505,151.1289,98.50621,106.08069,100.29297,73.324905,216.29916,248.31668,215.73773,208.72783,2718.8386,2790.5183,2802.4785,2766.8452,199.72685,215.00653,198.31058,187.79039,204.02544,172.7794,163.44177,174.04582,206.55186,172.72362,140.65341,264.59613,918.30023,928.25806,908.9716,772.636,229.46632,224.95827,196.74117,176.7424,131.49422,212.84735,178.30504,0,129.85071,165.63489,148.96175,123.64145,142.33691,76.641304,97.78417,140.69458,59.83524,41.260887,72.02243,77.62373
"5050_187.168_10.864",1398.7073,1410.7933,1367.7842,1442.571,1100.7604,983.24414,1153.1382,1109.7175,1738.8834,1652.7461,1634.0775,1692.759,1060.5353,1178.7891,1033.6757,1108.1431,1988.8958,2033.7706,2053.6948,2180.049,1463.3628,1416.3999,1476.1376,1385.0338,1241.0612,1167.8269,1306.7493,1343.6598,1110.5117,1147.7075,1153.292,1181.385,1018.704,1091.4863,1054.4036,964.4776,1185.1353,1301.1688,1279.7332,1089.9426,0,0,9.016437,0,2245.8555,2118.8376,2096.269,2140.14,1176.9302,1297.3295,1233.1088,1299.4281,1854.4213,1790.4414,1985.79,1787.9097,0,0,0,0,0,0,0,0,0,0,0,8.052942,1436.3217,1639.0267,1472.9474,1677.4828,0,0,0,0
"462_187.549_5.892",194.85721,142.16574,201.77896,138.27728,150.31436,212.62271,182.07571,178.77693,371.41254,361.16614,344.79346,220.3436,833.81116,721.8617,854.24927,890.9627,699.1325,832.7661,833.3362,730.2564,952.22327,1001.3146,902.227,1000.50275,1639.5848,1684.1571,1520.5996,1507.7985,1173.4095,1406.5632,1464.686,1270.5554,826.4792,865.6995,833.5295,682.8254,1017.2698,1716.455,1652.1217,1839.1853,0,0,0,0,1351.7739,1481.1929,1782.9929,2760.4048,297.73532,267.16852,213.13354,288.86456,1268.3206,1416.1395,1237.8267,1364.1417,0,0,0,0,0,0,0,0,0,0,0,0,987.1539,1107.6844,771.8822,960.09827,0,0,0,0
